start time                lon       lat      depth  mag
1988-03-13 01:12:50.1300  121.7232  37.3613  7  1.24  113754
1994-09-28 06:28:21.8800  121.7252  37.3632  7.45  1.37  30059063

2008-06-25 05:26:21.5400  121.7148  37.3513  7.3  1.45  40219724
2007-11-10 21:32:20.3000  121.7137  37.3527  7.98  0.48  71081765
2007-12-04 05:37:37.8000  121.702  37.3682  4.88  0.63  71087465
2009-12-17 06:54:53.1700  121.7148  37.353  7.89  1.11  71323060
2016-03-30 03:32:45.1100  121.7103  37.3533  7.71  1.08  72614645

1984-11-08 15:42:08.9000  121.7158  37.3513  8.79  0.81  31499
1988-06-22 17:11:59.3000  121.7158  37.3505  9  0.79  119412
1989-06-05 13:51:11.9500  121.7155  37.3507  8.35  0.88  137448
1992-03-13 05:34:07.9200  121.721  37.3515  8.67  0.88  256540
2001-12-19 09:38:20.3000  121.7075  37.3542  7.4  0  21206431
1996-04-23 03:30:26.1900  121.717  37.3512  9.66  1.02  30104474

1986-12-24 02:28:13.4300  121.72  37.3558  7.65  1.4  90906
1989-04-03 18:46:08.2600  121.7195  37.357  8.73  0.96  133893
1989-04-04 00:54:38.4900  121.7192  37.3557  7.44  1.6  133911
1989-12-25 10:48:38.6600  121.7223  37.3573  7.59  1.41  149553
1997-08-05 11:54:17.2000  121.7223  37.3562  8.38  0.94  515792
1997-11-15 21:24:50.9600  121.7203  37.3565  7.43  1.65  534807
2000-11-20 08:57:31.2900  121.72  37.3565  7.76  2.13  21134987
2002-08-22 10:47:03.9700  121.7168  37.3527  6.56  1.03  21241667
2004-11-01 07:56:36.8300  121.7203  37.3563  7.84  1.88  21416256
2006-10-24 11:25:23.8400  121.7208  37.3573  8.25  1.16  21544839
1995-01-17 17:13:52.7700  121.7218  37.3578  8.68  1.04  30066390

1984-12-29 12:27:49.0200  121.7208  37.3553  8.16  0.6  35692
1989-07-09 13:57:49.5400  121.7195  37.354  7.49  0  139669

1999-04-23 15:27:05.5800  121.7228  37.359  5.57  1.22  21008909
2000-09-28 08:31:26.1900  121.7243  37.36  6.23  1.22  21127512
2007-05-25 03:58:25.2600  121.7227  37.36  6.01  1.16  71033371
2010-01-01 05:25:24.7400  121.724  37.36  5.67  1  71328795
2010-10-13 01:59:51.6700  121.7207  37.3587  5.96  0.52  71467885

1994-02-24 06:41:38.8200  121.7217  37.358  7.79  1.01  395495
1997-02-15 15:28:20.8300  121.7203  37.3562  7  1.39  495060
1997-04-27 01:33:51.4100  121.7218  37.3578  7.3  1.28  502632
2000-06-30 17:55:09.3500  121.7128  37.3607  6.18  1.12  21107147
1993-11-30 21:41:22.7300  121.7215  37.3567  6.99  1.91  30036378
1998-12-05 00:35:09.0800  121.7208  37.357  7.11  1.51  30208051
2008-08-25 19:01:25.0600  121.7193  37.3568  7.44  1.64  51207349

1985-03-04 10:09:13.1600  121.7157  37.351  6.45  0.56  42714
1985-12-19 01:30:13.1600  121.7165  37.3523  6.03  0.87  61817
1987-01-14 11:51:21.1000  121.7185  37.3522  7.18  0.95  92532
1996-10-24 22:08:28.3600  121.7148  37.3512  5.52  1.15  482836

1984-04-21 04:56:07.9100  121.7175  37.3585  -0.41  1.06  16017
1984-04-21 13:37:06.0500  121.7252  37.3512  1.66  1.67  16036
1985-05-19 07:54:02.2700  121.7237  37.35  1.57  1.54  48028
1987-05-27 00:14:37.1600  121.7247  37.3512  1.7  1.62  100980
1987-05-27 04:33:33.5900  121.7262  37.3528  1.7  1.17  100986
1989-01-02 19:14:38.3400  121.7255  37.3508  1.6  1.44  129494
1989-01-04 16:24:01.0700  121.7242  37.3543  1.27  0.89  129545
1990-06-08 03:27:32.0200  121.7255  37.3507  2.67  1.27  159024
1992-09-14 09:32:55.1300  121.7262  37.3515  1.6  1.3  315429
1992-09-14 09:35:35.4700  121.7248  37.3513  1.59  1.43  315430
1993-06-12 10:34:32.4900  121.7248  37.3505  1.44  1.26  354821
1997-02-27 00:33:35.7900  121.726  37.351  1.59  1.73  496314
1997-07-23 14:08:30.4500  121.7235  37.3563  0.77  1.22  513989
1999-05-03 01:27:17.5700  121.7267  37.3518  1.73  1.54  21010533
1999-06-01 23:19:58.9500  121.7242  37.3512  1.32  0.85  21021552
2002-05-21 11:08:54.6800  121.7248  37.3513  3.28  1.93  21226619
2004-05-31 11:27:27.3400  121.7243  37.3505  0.92  1.43  21367814
2006-03-14 16:22:32.6000  121.7258  37.3518  2.39  1.42  21509342
1994-08-14 12:32:07.2200  121.7257  37.3507  1.73  1.57  30055074
1996-01-18 15:00:51.4100  121.7253  37.3512  1.58  1.31  30094630
2009-02-17 13:14:07.7200  121.725  37.3508  1.71  1.86  40231900
2010-10-20 10:26:48.9800  121.723  37.3517  1.88  0.8  71045419
2007-09-15 07:18:22.5900  121.7253  37.353  2.3  0.93  71066920
2009-02-17 13:26:34.8600  121.721  37.3538  1.22  0.85  71192190
2010-06-15 18:07:58.8500  121.726  37.3518  1.17  1.1  71415636
2010-09-02 16:33:02.3000  121.7255  37.3525  1.59  0.89  71449835
2010-10-20 10:26:36.3800  121.7238  37.3512  1.96  0.89  71476651
2012-04-10 16:41:55.4200  121.7235  37.3518  2.72  1.51  71762335
2012-08-06 15:27:38.1800  121.7232  37.3525  1.66  0.91  71827571
2014-07-11 06:08:18.0600  121.7257  37.352  2.01  1.56  72251865
2014-07-25 17:57:54.4000  121.7267  37.3518  1.6  1.07  72264486
2016-01-04 11:43:17.5300  121.728  37.3503  2.15  1.25  72573515

1985-04-20 03:26:56.9300  121.7212  37.3577  7.32  1.57  46407
1985-04-20 03:27:45.4400  121.7193  37.3563  7.33  0.87  46427
1986-01-02 17:44:54.4200  121.722  37.3578  7.59  1.73  62625
1987-11-26 23:30:00.4000  121.7208  37.358  7.72  1.69  109105
2003-06-22 15:10:06.0900  121.7192  37.3568  7.74  0  21288906
2006-08-12 00:29:47.2600  121.7222  37.36  7.69  1.4  21531946
1999-05-24 00:52:42.5700  121.7208  37.358  8.18  1.28  71049044

1984-03-10 08:54:09.9500  121.7278  37.3548  2.36  1.08  9788
1985-07-08 06:18:10.0600  121.7252  37.3538  2.15  0.97  50690
1986-09-07 16:58:04.0300  121.7218  37.3592  1.08  0.87  81627
1988-02-28 15:44:10.9300  121.727  37.3538  2.26  0.88  113023
1989-07-29 13:13:03.4800  121.7278  37.3542  2.2  0.92  141082
1991-07-13 08:43:57.8700  121.7302  37.3547  2.34  0.9  224275
1999-05-03 17:05:38.9100  121.7268  37.3527  2.39  1.03  21010601
2000-05-05 12:10:03.5900  121.7238  37.3563  1.55  1.04  21095685
2001-09-14 05:37:54.4800  121.7265  37.356  3.81  1.36  21193968
2004-09-20 11:06:59.1200  121.7287  37.3552  2.87  1.35  21397195
1994-07-24 00:50:31.0600  121.7268  37.354  2.11  1.23  30053446
1997-11-05 22:20:56.0300  121.7263  37.354  2.11  1.12  40040313
2007-11-01 13:41:59.0100  121.7273  37.3555  2.71  0.92  51189865
2009-11-19 05:03:34.7300  121.726  37.3552  2.29  0.92  71316481
2012-07-18 18:36:10.1500  121.7252  37.3557  2.24  0.9  71818366
2014-07-01 04:37:02.0600  121.7268  37.3547  2.13  0.93  72247131
2016-10-27 23:31:50.2000  121.7252  37.3538  2.13  1.06  72716955
2019-07-14 14:28:28.7900  121.7258  37.3535  2.53  1.09  73222906

1984-09-27 05:09:52.9400  121.7183  37.3538  7.96  1.16  28650
1988-06-13 04:13:43.1200  121.7173  37.3532  7.15  1.4  118813

2007-12-28 01:37:03.7600  121.7222  37.3583  6.24  1.31  51193339
2010-10-14 11:06:00.9400  121.7193  37.3603  7.26  1.74  71473926
2010-11-06 04:02:35.3900  121.7235  37.3588  5.95  1.83  71484696

1984-12-09 12:31:01.6100  121.7225  37.3593  8.14  0.88  33719
1992-01-04 23:53:22.3300  121.7282  37.3593  8.87  0.95  242420

1984-11-08 08:29:13.8700  121.722  37.3483  1.79  2.01  31481
1988-02-02 11:00:56.8500  121.7237  37.3483  1.66  2.01  111741
1991-10-31 14:11:39.5900  121.7232  37.3483  2.02  2.1  236128
2002-12-01 01:42:14.7700  121.721  37.3482  1.23  1.16  21258143
2003-01-20 12:39:35.6800  121.7235  37.3487  3.68  1.97  21264384
2006-11-06 10:57:51.3900  121.7213  37.3463  1.2  2  21546912
1995-07-03 13:39:06.1700  121.7227  37.349  1.77  1.99  30076403
1999-05-16 04:26:08.4500  121.7237  37.3488  2.04  2.03  30501685
2011-05-12 13:36:16.0300  121.7233  37.349  2.54  2.14  71569040
2015-03-27 07:14:18.6400  121.7225  37.35  2.81  1.88  72418185
2020-01-12 20:54:12.1200  121.7213  37.3498  2.38  2.14  73326781

1989-12-16 11:20:38.9800  121.7223  37.3548  5.56  2.55  148982
1994-05-25 10:09:00.9800  121.7218  37.355  5.57  2.58  402749
1999-05-17 02:13:36.5200  121.7215  37.3545  5.68  2.56  21013344
2004-09-17 16:36:03.3300  121.721  37.3557  7.25  2.5  21395949
2007-11-11 17:53:07.0300  121.7182  37.3562  7.07  2.22  40205391
2011-03-02 01:30:20.4000  121.715  37.36  8.15  2.6  71531360
2013-06-10 09:59:15.8200  121.7152  37.3612  8.1  2.32  72005545
2015-10-08 20:34:18.4800  121.7183  37.3547  6.51  2.28  72534245
2019-08-13 10:31:10.1700  121.7178  37.3555  6.34  2.45  73249995

1986-09-15 06:58:05.9400  121.7238  37.3557  1.48  0.88  82513
1991-10-20 14:34:58.5300  121.729  37.355  1.78  0.99  234699

1988-07-30 07:05:17.1200  121.693  37.3862  5.11  1.25  121265
1988-08-01 23:46:04.4100  121.6933  37.3872  5.35  1.06  121536

1985-11-05 05:26:37.0600  121.6893  37.3812  3.92  0.79  58330
1988-02-01 01:03:40.2200  121.6878  37.3813  3.47  1.07  111726

1986-11-27 21:41:59.9100  121.7293  37.3628  4.11  0.82  88840
1986-11-27 08:49:03.2800  121.7308  37.3597  4.47  0.83  88861
1989-12-27 08:42:57.3400  121.73  37.363  4.17  0.83  149622
1991-11-06 11:10:08.5200  121.7293  37.3628  4.04  1.03  236639
1999-06-03 10:49:34.3300  121.728  37.3628  3.9  1.16  21021945
1995-07-12 12:38:51.7900  121.729  37.3623  3.91  1.11  30077071
2007-12-13 17:33:07.7500  121.7273  37.3648  3.92  0.74  71088845
2009-06-08 14:35:38.4200  121.7295  37.3635  4.47  0.91  71228515
2012-02-11 17:46:20.5400  121.7262  37.3658  3.67  0.87  71728220

1985-11-20 22:52:48.5100  121.7208  37.3518  3.92  0.81  59545
1989-04-10 06:11:32.1300  121.7217  37.351  4.42  0.95  134351
1990-06-16 00:05:49.3500  121.7215  37.3513  3.75  0.81  159451
2000-01-10 15:38:54.2900  121.72  37.3518  4.04  1.16  21076580
2004-08-16 03:38:04.0400  121.7182  37.3507  2.73  1.15  21389127
2006-08-23 05:13:54.7100  121.7212  37.3533  4.48  1.16  21533570
2008-01-29 02:24:58.2600  121.7187  37.3508  4.06  0.57  71096075
2012-04-16 00:13:37.9900  121.72  37.3502  4.51  0.83  71765270

1988-01-01 15:10:12.8500  121.7475  37.33  -0.25  1.2  110445
1996-11-13 08:45:25.2700  121.7365  37.3335  -0.48  1.35  484442

1985-06-16 18:05:35.7000  121.734  37.3578  1.31  1.15  49646
2010-06-17 04:43:40.3200  121.7342  37.3573  1.62  1.2  71416296

1985-06-05 12:49:23.7900  121.7113  37.3622  7.36  0.62  49016
