Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
San Andreas,-115.99,33.58,Red Canyon,1.7,Undf.,Aft,AA,1967,1983,16.0,12,Yes,Yes,No,No
Imperial,-115.356,32.683,Tuttle Ranch,6,Undf.,Aft,CM,1980,1984,,12,Yes,Yes,No,No
San Andreas,-120.5717,36.015,Bagby ranch,23.8,0.4,Int,AA,1970,1979,9.0,3,,,No,Yes
San Andreas,-115.8178,33.4239,"Bat Caves, Coachella Valley",3.3,0.667,Int,SAR,1992.7,1999.5,6.8,26,,Yes,Yes,Yes
San Andreas,-115.8178,33.4239,"Bat Caves, Coachella Valley",2.4,0.667,Int,SAR,2003.5,2010.25,6.8,26,,Yes,Yes,Yes
San Andreas,-115.8178,33.4239,"Bat Caves, Coachella Valley",1.9,0.667,Int,SAR,2014.9,2018,3.5,26,,Yes,Yes,Yes
San Andreas,-117.8,34.422,Big Pines,0,1,Int,AA,1970,1981,11.0,12,,,No,Yes
San Andreas,-120.9832,36.3974,BIT (Bitterwater),16.76,0.32,Int,CM,1969.5,1995.9,26.4,17,,,Yes,Yes
San Andreas,-116,33.5827,Box Canyon,3.7,0.667,Int,SAR,1992.7,1999.5,6.8,26,,Yes,Yes,Yes
San Andreas,-116,33.5827,Box Canyon,2,0.667,Int,SAR,2003.5,2010.25,6.8,26,,Yes,Yes,Yes
San Andreas,-116,33.5827,Box Canyon,0.4,0.667,Int,SAR,2014.9,2018,3.5,26,,Yes,Yes,Yes
Berryessa,-122.29829,38.62156,"BPCE (Pope Canyon, East trace)",-0.8,0.4,Int,AA,2010,2017,7.6,14,,,Yes,Yes
Berryessa,-122.32086,38.62179,BPCW (Pope Canyon West trace),-1.8,0.8,Int,AA,2010,2014,4.6,14,,,Yes,Yes
Bartlett Springs,-122.49721,39.00138,BS20 (Highway 20),1.4,0.4,Int,AA,2010,2017,7.6,14,,,Yes,Yes
Bartlett Springs,-123.24823,39.75875,BSFB (Fairbanks Road),-0.2,0.2,Int,AA,2009,2014,5.2,14,,,Yes,Yes
Bartlett Springs,-122.95726,39.4456,BSLP (Lake Pillsbury),3.5,0.1,Int,AA,2005,2018,12.5,14,,,Yes,Yes
Bartlett Springs,-123.22755,39.74003,BSRV (Round Valley),0.4,1.5,Int,AA,2008,2011,3,14,,,Yes,Yes
Berryessa,-122.34194,38.65523,"BWJC (Jerd Creek, West trace)",4.2,1,Int,AA,2011,2017,6.2,14,,,Yes,Yes
San Andreas,-117.49,34.2858,Cajon,0,0.5,Int,AA,1970,1984,14.0,12,,,No,Yes
Garlock,-118.299,35.0898,Cameron,5.7,1.5,Int,AA,1971,1982,,12,,,No,Yes
Calaveras,-121.9359,37.7044,Camp Parks,2.8,0.5,Int,AA,1965,1977,12.0,11,,,No,Yes
Concord,-122.03524,37.97189,CASH (Ashbury Drive),3.5,0.3,Int,AA,1979,2017,38,14,,,Yes,Yes
San Andreas,-121.6483,36.9267,Chamberlain,0.8,0.4,Int,AA,1967,1972,5.0,3,,,No,Yes
Garlock,-117.352,35.532,Christmas,0,0.365,Int,AA,1971,1983,,12,,,No,Yes
San Andreas,-121.3839,36.7495,Cienega Winery,12.3,0.2,Int,Cult,1948,1976,28.0,3,,,No,Yes
San Jacinto,-117.264,34.0442,Claremont (Colton),0,1,Int,AA,1973,1983,,12,,,No,Yes
San Jacinto,-116.669,33.5861,Clark (Anza),0,2,Int,AA,1977,1984,,12,,,No,Yes
San Andreas,-121.1841,36.5902,"Corral, Melendy",22,0.2,Int,Cult,1945,1978,33.0,3,,,No,Yes
San Andreas,-115.8764,33.4764,"Corvina Beach, Coachella Valley",7.5,0.667,Int,SAR,1992.7,1999.5,6.8,26,,Yes,Yes,Yes
San Andreas,-115.8764,33.4764,"Corvina Beach, Coachella Valley",4.2,0.667,Int,SAR,2003.5,2010.25,6.8,26,,Yes,Yes,Yes
San Andreas,-115.8764,33.4764,"Corvina Beach, Coachella Valley",1.6,0.667,Int,SAR,2014.9,2018,3.5,26,,Yes,Yes,Yes
Superstition Hills,-115.7009,32.9301,coSH (Superstition Hills),1.35,0.266,Int,CM,2004,2006,2.0,4,,,Yes,Yes
Superstition Hills,-115.7009,32.9301,coSH (Superstition Hills),0.6,0.266,Int,CM,2010,2011,1.0,4,,,Yes,Yes
San Andreas,-121.2017,36.605,Cross-Willow,19.9,0.4,Int,AA,1972,1977,5.0,3,,,No,Yes
San Andreas,-120.36,35.84,CRR1,3.97,0.266,Int,CM,1971,1987,16.0,2,,,No,Yes
Concord,-122.03824,37.97569,CSAL (Salvio Street),2.9,0.1,Int,AA,1979,2018,38.7,14,,,Yes,Yes
Calaveras,-121.40631,36.84952,CV7S (Seventh Street),7.8,0.1,Int,AA,1979,2018,38.8,14,,,Yes,Yes
Calaveras,-121.64941,37.22206,CVCC (Carlin Canyon),8.6,0.4,Int,AA,2010,2017,7.2,14,,,Yes,Yes
Calaveras,-121.96083,37.74569,CVCP (Corey Place),1.7,0.1,Int,AA,1980,2018,37.5,14,,,Yes,Yes
Calaveras,-121.52521,37.06981,CVCR (Coyote Ranch),10.3,0.1,Int,AA,1968,2018,50.3,14,,,Yes,Yes
Calaveras,-121.80616,37.4505,CVCV (Calaveras Valley),3.8,0.3,Int,AA,2012,2017,4.7,14,,,Yes,Yes
Calaveras,-121.93713,37.70649,CVSP (Shannon Park),1.5,0.1,Int,AA,2002,2018,16.4,14,,,Yes,Yes
Calaveras,-121.87693,37.5985,CVSU (Sunol),2.3,0.2,Int,AA,2002,2016,13.7,14,,,Yes,Yes
Calaveras,-121.85183,37.5357,CVWC (Welch Creek Rd),4.4,0.1,Int,AA,1997,2018,21.3,14,,,Yes,Yes
Calaveras,-121.41381,36.86982,CVWR (Wright Rd),10,0.1,Int,AA,1979,2018,38.8,14,,,Yes,Yes
San Andreas,-121.385,36.7497,"CWN (Cinega Winery, North)",12.72,0.23,Int,CM,1972.5,2020.7,48.2,17,,,Yes,Yes
